Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",1206,2,470p,
"C10, C11",1206,2,680p,
"C12, C9",1206,2,270p,
"C13, C16, C22, C23",1206,4,150p,
"C14, C15, C28, C29",1206,4,390p,
"C17, C20, C21, C24",1206,4,47p,
"C18, C19",1206,2,220p,
"C2, C3, C8",0603,3,100n,
"C25, C30, C31, C32, C33, C34, C36, C37, C40, C41, C44, C45",1206,12,0p,
"C26, C27",0603,2,10n,
"C35, C38, C39, C42",1206,4,33p,
"C4, C5",1206,2,820p,
"C43, C46",1206,2,10p,
"C47, C49",0603,2,2.7n,
C48,0603,1,820p,
C6,C_Elec_5x5.8,1,33µ 25V,
"D1, D2",D_SOD-323_HandSoldering,2,1n5711wds,
D4,D_SOD-123,1,MBR0520,
"H1, H2, H3, H4, H5, H6",MountingHole_2.7mm_M2.5_KA,6,2.5mm,
J1,PinSocket_2x20_P2.54mm_Vertical,1,GPIO,
J2,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,Input,
J3,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,Antenna,
J4,PinSocket_2x05_P2.54mm_Vertical,1,Pwr,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,RX,
J6,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,PA,
J7,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,PTT IN,
J8,U.FL_Molex_MCRF_73412-0110_Vertical,1,RX,
"K1, K2, K3, K4, K5, K6",Relay_DPDT_AXICOM_IMSeries_Pitch5.08mm,6,IM02TS,
"L1, L3",L_Toroid_Vertical_L14.0mm_W6.3mm_P4.57mm_Pulse_A,2,2.42uh,
"L10, L12",L_Toroid_Vertical_L14.0mm_W6.3mm_P4.57mm_Pulse_A,2,444n,
L11,L_Toroid_Vertical_L14.0mm_W6.3mm_P4.57mm_Pulse_A,1,561n,
"L13, L15",L_Toroid_Vertical_L14.0mm_W6.3mm_P4.57mm_Pulse_A,2,300n,
L14,L_Toroid_Vertical_L14.0mm_W6.3mm_P4.57mm_Pulse_A,1,380n,
"L16, L17",Transformer_Toroid_Horizontal_D9.0mm_Amidon-T30,2,T37-43 1:13,
"L18, L19",0603,2,2.700µ,
L2,L_Toroid_Vertical_L14.0mm_W6.3mm_P4.57mm_Pulse_A,1,3.01uh,
"L4, L6",L_Toroid_Vertical_L14.0mm_W6.3mm_P4.57mm_Pulse_A,2,1.38u,
L5,L_Toroid_Vertical_L14.0mm_W6.3mm_P4.57mm_Pulse_A,1,1.70u,
"L7, L9",L_Toroid_Vertical_L14.0mm_W6.3mm_P4.57mm_Pulse_A,2,773n,
L8,L_Toroid_Vertical_L14.0mm_W6.3mm_P4.57mm_Pulse_A,1,990n,
"R1, R2, R7, R8",0603,4,10k,
R10,0603,1,3k9,
"R3, R9",0603,2,1k,
R4,0603,1,9.0k,
"R5, R6",0603,2,51,
U1,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP23008-xML,
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,ULN2003A,
